,artist,track,track_uri
147,Birdman featuring Kevin Rudolf and Lil Wayne,I Want It All,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ
148,Chubb Rock,Treat 'Em Right,spotify:track:2QHmGfplU3ypWOGgJM46in
149,Britney Spears,Circus,spotify:track:7jk7gqyEonmVVYahZN5zhW
150,Ying Yang Twins,Wild Out,spotify:track:13LGd2Rc7JDFUSoMQLBkGT
151,De La Soul,Me Myself and I,spotify:track:6mH6EBEvnlY1SQaFQH3WxE
152,Lyn Collins,Think (About It),spotify:track:1kG2PZ8geznbDA8I6iWeDi
153,U2,With or Without You,spotify:track:6ADSaE87h8Y3lccZlBJdXH
154,Soulja Boy,Pretty Boy Swag,spotify:track:2zOWuWdyuMqOoboNRKlJO0
155,Fatman Scoop and Big Kap,Party Anthem,spotify:track:527k23H0A4Q0UJN3vGs0Da
156,Rage Against the Machine,Killing in the Name,spotify:track:59WN2psjkt1tyaxjspN8fp
157,O'mega Red and Detail,Endz,spotify:track:4iJyoBOLtHqaGxP12qzhQI
158,will.i.am and Nicki Minaj,"Check It Out"" (portion sampled samples ""Think (About It)"" by Lyn Collin)",spotify:track:56H98l4uinRifnTH8e308N
159,Steve Winwood,Roll with It,spotify:track:2QlPByrmEO9XciNBXCrawR
160,Kid Cudi,Day 'n' Nite (Crookers Remix),spotify:track:6ouTGbETM7ZdID1eMXZJde
161,Daft Punk,"Digital Love"" (portion sampled samples ""I Love You More"" by George Duke)",spotify:track:2VEZx7NWsZ1D0eJ4uv5Fym
162,Young Jeezy,Bottom of the Map,spotify:track:3EmNjy3zFszmAOCikiKxCd
163,B.o.B featuring Rich Boy,Haterz Everywhere,spotify:track:1rpFP4BV7Y1mwHb4rNTjlg
164,Mandrill,Positive Thing,spotify:track:4FdUP6wPCWaKWFtBm2Z6bY
165,DJ Class,I'm the Shit,spotify:track:3f3HHRPF5vAo90GwdpDMaQ
166,Love and Rockets,So Alive,spotify:track:7pfP8Z9M9KRUtzTLcnjem5
167,LL Cool J featuring Jennifer Lopez,Control Myself,spotify:track:1xqRKo0SDFDO5Jy8yEVD0X
168,Federico Franchi,Cream,spotify:track:0GVwgNXkAIO8gltpKIldpz
169,Chelley,Took the Night,spotify:track:0nrcBf21XEcXy8QesYxPfT
170,Young MC,Bust a Move,spotify:track:3IeCYkdKI55mNMl2o4vX0k
171,Usher featuring will.i.am,OMG,spotify:track:3Ofmpyhv5UAQ70mENzB277
172,Trick Daddy,Shut Up,spotify:track:66MsAs4nVj68t6va1lygIm
